Unnamed: 0,Explicit,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Position,Reel 1,Reel 2,Reel 3,Reel 4,Reel 5
1,S,W,J,K,J
2,A,K,Q,J,Q
3,Q,J,Q,J,Q
4,J,A,J,A,J
5,Q,J,K,K,Q
6,Q,K,Q,J,Q
7,J,J,S,Q,A
8,Q,K,J,K,J
9,A,J,K,A,Q
10,A,K,Q,J,Q
11,Q,J,Q,J,Q
12,J,A,J,A,J
13,Q,K,J,K,J
14,A,J,K,A,Q
15,K,A,J,J,S
16,W,J,K,K,J
17,A,A,Q,Q,Q
18,K,J,Q,J,Q
19,Q,J,S,K,J
20,A,K,Q,J,Q
21,Q,J,Q,J,Q
22,J,A,J,A,J
23,Q,J,K,K,Q
24,Q,Q,K,A,J
25,Q,K,Q,J,Q
26,S,K,J,J,K
27,Q,J,K,K,J
28,A,A,Q,Q,Q
29,Q,J,J,W,W
30,J,K,A,A,S
31,A,K,Q,J,Q
32,Q,J,Q,J,Q
33,A,J,J,Q,Q
34,S,Q,Q,K,A
35,Q,J,Q,Q,Q
36,K,J,Q,J,Q
37,Q,J,A,A,K
38,J,Q,S,J,J
39,J,A,J,A,J
40,Q,J,K,K,Q
41,A,K,J,K,S
42,K,J,Q,J,Q
43,K,A,J,J,J
44,K,A,J,J,J
45,Q,Q,K,A,J
46,J,K,W,K,K
47,Q,J,Q,Q,Q
